case_name	label	question	expected_source	expected_stage	expected_llm_status	output_mode	expected_question
shining-force-ii-md	md__Shining Force II	什么时候转职？	sf2.promotion	evidence	skipped	text	什么时候转职？
golden-sun-gba-zh	gba__黄金太阳	精神力是什么？	gs.official_manual	evidence	skipped	text	精神力是什么？
phantasy-star-iv-md-zh	genesis__Phantasy_Star_IV	技巧和技能有什么区别？	ps4.techniques_wiki	evidence	skipped	text	技巧和技能有什么区别？
langrisser-ii-md-zh	md__Langrisser II (Japan)	指挥官是什么？	l2.project_notes	evidence	skipped	text	指挥官是什么？
chrono-trigger-snes-zh	sfc__Chrono Trigger (USA)	时间条战斗怎么理解？	ct.project_notes	evidence	skipped	text	时间条战斗怎么理解？
final-fantasy-vi-snes-zh	super_nintendo__Final Fantasy VI (USA)	魔石系统是什么？	ff6.magicite_wiki	evidence	skipped	text	魔石系统是什么？
phantasy-star-iv-tech-skill-qiqiao-observed	genesis__Phantasy_Star_IV	气巧和技能有什么区别	ps4.techniques_wiki	evidence	skipped	hotkey_voice:text	技巧和技能有什么区别
sf2-vigor-ball-observed	md__Shining Force II	契合之域怎么用	sf2.promotion	evidence	skipped	hotkey_voice:text	气合之玉怎么用
sf2-kraken-pan-observed	md__Shining Force II	克拉盆怎么	sf2.enemy_boss_notes	evidence	skipped	hotkey_voice:text	克拉肯怎么过
golden-sun-ivan-observed	gba__黄金太阳	一凡是不是亿万	gs.localized_name_audit	evidence	skipped	hotkey_voice:text	伊凡是不是伊万
golden-sun-ivan-canonical-clipped-observed	gba__黄金太阳	伊凡是不是一	gs.localized_name_audit	evidence	skipped	hotkey_voice:text	伊凡是不是伊万
golden-sun-ivan-canonical-clipped-yin-observed	gba__黄金太阳	伊凡是不是因	gs.localized_name_audit	evidence	skipped	hotkey_voice:text	伊凡是不是伊万
golden-sun-ivan-clipped-observed	gba__黄金太阳	一凡是不是一	gs.localized_name_audit	evidence	skipped	hotkey_voice:text	伊凡是不是伊万
golden-sun-ivan-clipped-yin-observed	gba__黄金太阳	一凡是不是因	gs.localized_name_audit	evidence	skipped	hotkey_voice:text	伊凡是不是伊万
golden-sun-no-all-djinn-jingying-observed	gba__黄金太阳	直接列出所有经营位置	gs.project_notes	evidence	skipped	hotkey_voice:text	直接列出所有精灵位置
golden-sun-no-all-djinn-jie-li-wei-wei-observed	gba__黄金太阳	我接立出所有基精灵未位	gs.project_notes	evidence	skipped	hotkey_voice:text	直接列出所有精灵位置
chrono-marle-observed	sfc__Chrono Trigger (USA)	纳尔是谁	ct.project_notes	evidence	skipped	hotkey_voice:text	玛尔是谁
chrono-atb-observed	sfc__Chrono Trigger (USA)	时间调战斗怎么理解	ct.project_notes	evidence	skipped	hotkey_voice:text	时间条战斗怎么理解
chrono-atb-challenge-observed	sfc__Chrono Trigger (USA)	时间挑战斗怎么理解	ct.project_notes	evidence	skipped	hotkey_voice:text	时间条战斗怎么理解
ff6-magicite-observed	super_nintendo__Final Fantasy VI (USA)	无时系统是什么	ff6.magicite_wiki	evidence	skipped	hotkey_voice:text	魔石系统是什么
ff6-magicite-stone-observed	super_nintendo__Final Fantasy VI (USA)	无石系统是什么	ff6.magicite_wiki	evidence	skipped	hotkey_voice:text	魔石系统是什么
ff6-magicite-heshi-observed	super_nintendo__Final Fantasy VI (USA)	何石系统是什么	ff6.magicite_wiki	evidence	skipped	hotkey_voice:text	魔石系统是什么
ff6-magicite-fifty-observed	super_nintendo__Final Fantasy VI (USA)	五十系统是什么	ff6.magicite_wiki	evidence	skipped	hotkey_voice:text	魔石系统是什么
langrisser-mercenary-observed	md__Langrisser II (Japan)	拥兵有什么用	l2.project_notes	evidence	skipped	hotkey_voice:text	佣兵有什么用
phantasy-star-combo-observed	genesis__Phantasy_Star_IV	组合计要不要一开始研究	ps4.project_notes	evidence	skipped	hotkey_voice:text	组合技要不要一开始研究
